carrier_name,ams_carrier_name_lowercase,glovebox_carrier_id,ontraport_carrier_id,Note,Website,MGA / Wholesaler
"
Farmers Mutual Insurance Company","
farmers mutual insurance company",farmersmutual,583,,,
*Mercury Gen Grp,*mercury gen grp,mercury,33,,,
1st Auto,1st auto,firstauto,731,,,
1ST AUTO,1st auto,firstauto,731,,,
21St Century Advantage Ins Co,21st century advantage ins co,twentyfirstcentury,330,,,
21st Century Insurance,21st century insurance,twentyfirstcentury,330,,,
A. Central Insurance,a. central insurance,nycm,80,,,
A. Central Insurance Co.,a. central insurance co.,nycm,80,,,
A. CENTRAL INSURANCE COMPANY,a. central insurance company,nycm,80,,,
AAA,aaa,aaa,10,,,
AAA - Auto Club Group,aaa - auto club group,aaa,10,,,
"AAA - Memberselect Illinois, Northern Indiana, Ohio, Nebraska, Wisconsin, Florida","aaa - memberselect illinois, northern indiana, ohio, nebraska, wisconsin, florida",aaa,10,,,
AAA Auto Club Enterprises,aaa auto club enterprises,aaa,10,,,
AAA Insurance,aaa insurance,aaa,10,,,
AAA Insurance - Western United,aaa insurance - western united,aaa,10,,,
AAA Insurance Company,aaa insurance company,aaa,10,,,
AAA Insurance Company - Arizona & Southern Indiana,aaa insurance company - arizona & southern indiana,aaa,10,,,
AAA MEMBERSELECT INS CO,aaa memberselect ins co,aaa,10,,,
AAA North Dakota,aaa north dakota,aaa,10,,,
Abram Interstate Ins. Services,,,,not mapping yet,https://www.allrisks.com/,TRUE
"Acacia Insurance Managers, LLC",abram interstate ins. services,acaciains,661,,,
Acadia Insurance Company,,,,"not mapping, commercial",https://www.acadiainsurance.com,
ACCC GENERAL AGENCY,accc general agency,accc,114,,,
ACCC Insurance Company,accc insurance company,accc,114,,,
Acceptance Insurance,acceptance insurance,acceptance,119,,,
Access Home Ins Co,access home ins co,accesshome,678,,,
Access Home Insurance,access home insurance,accesshome,678,,,
ACCESS HOME INSURANCE,access home insurance,accesshome,678,,,
ACE,ace,chubb,6,,,
ACE American Insurance Company,ace american insurance company,chubb,6,,,
ACE Group,ace group,chubb,6,,,
Ace Group Company,ace group company,chubb,6,,,
Ace Ltd Grp,ace ltd grp,chubb,6,,,
ACE Private Risk Service/Chubb,ace private risk service/chubb,chubb,6,,,
ACE Private Risk Services,ace private risk services,chubb,6,,,
Ace Property & Casualty Insurance,ace property & casualty insurance,chubb,6,,,
Acuity,acuity,acuity,9,,,
Acuity A Mut Ins Co,acuity a mut ins co,acuity,9,,,
